"ISO3","countryname","year","rGDP","unemp","CPI"
"PAK","Pakistan",1887,NA,NA,NA
"PAK","Pakistan",1888,NA,NA,NA
"PAK","Pakistan",1889,NA,NA,NA
"PAK","Pakistan",1890,NA,NA,NA
"PAK","Pakistan",1891,NA,NA,NA
"PAK","Pakistan",1892,NA,NA,NA
"PAK","Pakistan",1893,NA,NA,NA
"PAK","Pakistan",1894,NA,NA,NA
"PAK","Pakistan",1895,NA,NA,NA
"PAK","Pakistan",1896,NA,NA,NA
"PAK","Pakistan",1897,NA,NA,NA
"PAK","Pakistan",1898,NA,NA,NA
"PAK","Pakistan",1899,NA,NA,NA
"PAK","Pakistan",1900,NA,NA,NA
"PAK","Pakistan",1901,NA,NA,NA
"PAK","Pakistan",1902,NA,NA,NA
"PAK","Pakistan",1903,NA,NA,NA
"PAK","Pakistan",1904,NA,NA,NA
"PAK","Pakistan",1905,NA,NA,NA
"PAK","Pakistan",1906,NA,NA,NA
"PAK","Pakistan",1907,NA,NA,NA
"PAK","Pakistan",1908,NA,NA,NA
"PAK","Pakistan",1909,NA,NA,NA
"PAK","Pakistan",1910,NA,NA,NA
"PAK","Pakistan",1911,NA,NA,NA
"PAK","Pakistan",1912,NA,NA,NA
"PAK","Pakistan",1913,NA,NA,NA
"PAK","Pakistan",1914,NA,NA,NA
"PAK","Pakistan",1915,NA,NA,NA
"PAK","Pakistan",1916,NA,NA,NA
"PAK","Pakistan",1917,NA,NA,NA
"PAK","Pakistan",1918,NA,NA,NA
"PAK","Pakistan",1919,NA,NA,NA
"PAK","Pakistan",1920,NA,NA,NA
"PAK","Pakistan",1921,NA,NA,NA
"PAK","Pakistan",1922,NA,NA,NA
"PAK","Pakistan",1923,NA,NA,NA
"PAK","Pakistan",1924,NA,NA,NA
"PAK","Pakistan",1925,NA,NA,NA
"PAK","Pakistan",1926,NA,NA,NA
"PAK","Pakistan",1927,NA,NA,NA
"PAK","Pakistan",1928,NA,NA,NA
"PAK","Pakistan",1929,NA,NA,NA
"PAK","Pakistan",1930,NA,NA,NA
"PAK","Pakistan",1931,NA,NA,NA
"PAK","Pakistan",1932,NA,NA,NA
"PAK","Pakistan",1933,NA,NA,NA
"PAK","Pakistan",1934,NA,NA,NA
"PAK","Pakistan",1935,NA,NA,NA
"PAK","Pakistan",1936,NA,NA,NA
"PAK","Pakistan",1937,NA,NA,NA
"PAK","Pakistan",1938,NA,NA,NA
"PAK","Pakistan",1939,NA,NA,NA
"PAK","Pakistan",1940,NA,NA,NA
"PAK","Pakistan",1941,NA,NA,NA
"PAK","Pakistan",1942,NA,NA,NA
"PAK","Pakistan",1943,NA,NA,NA
"PAK","Pakistan",1944,NA,NA,NA
"PAK","Pakistan",1945,NA,NA,NA
"PAK","Pakistan",1946,NA,NA,NA
"PAK","Pakistan",1947,NA,NA,NA
"PAK","Pakistan",1948,NA,NA,1.7183466
"PAK","Pakistan",1949,1319663.1,NA,1.7183466
"PAK","Pakistan",1950,1368140.5,NA,1.6279072
"PAK","Pakistan",1951,1368140.5,NA,1.7183466
"PAK","Pakistan",1952,1411231.5,NA,1.7484928
"PAK","Pakistan",1953,1530986.8,NA,1.9293716
"PAK","Pakistan",1954,1555214.5,NA,1.899225
"PAK","Pakistan",1955,1580283,NA,1.8087857
"PAK","Pakistan",1956,1618751.6,NA,1.8962104
"PAK","Pakistan",1957,1682608.5,NA,2.0687249
"PAK","Pakistan",1958,1700334.4,NA,2.1383107
"PAK","Pakistan",1959,1711121.4,NA,2.0658252
"PAK","Pakistan",1960,1788914.9,NA,2.2093461
"PAK","Pakistan",1961,1896023.4,NA,2.2455885
"PAK","Pakistan",1962,1981019.4,NA,2.2339909
"PAK","Pakistan",1963,2153146.8,NA,2.2665286
"PAK","Pakistan",1964,2316134.8,NA,2.3612602
"PAK","Pakistan",1965,2557461.3,NA,2.4927504
"PAK","Pakistan",1966,2705537,NA,2.6729169
"PAK","Pakistan",1967,2851652.5,NA,2.8549798
"PAK","Pakistan",1968,3057919,NA,2.8598514
"PAK","Pakistan",1969,3226346,NA,2.9509943
"PAK","Pakistan",1970,3592648.3,NA,3.1088676
"PAK","Pakistan",1971,3609475,2.0899999,3.2559388
"PAK","Pakistan",1972,3638834.8,2.1500001,3.4247017
"PAK","Pakistan",1973,3895891.5,2,4.2147832
"PAK","Pakistan",1974,4033813.8,1.67,5.3385725
"PAK","Pakistan",1975,4203694,1.7,6.4545751
"PAK","Pakistan",1976,4420445,1.9,6.9166141
"PAK","Pakistan",1977,4594950.5,1.9,7.6174722
