Date,Price,Open,High,Low,Vol.,Change %
09/19/2024,"81,459.28","80,802.77","82,003.58","80,680.23",184890999,1.24%
09/18/2024,"80,461.33","79,884.41","80,587.44","79,798.75",147731066,1.22%
09/16/2024,"79,491.13","79,682.10","79,993.17","79,368.18",152285179,0.20%
09/13/2024,"79,333.05","79,912.34","80,016.73","79,262.72",191853803,0.40%
09/12/2024,"79,017.61","78,843.06","79,217.61","78,577.65",132750010,0.47%
09/11/2024,"78,651.79","79,428.49","79,507.17","78,612.16",146516672,-0.80%
09/10/2024,"79,286.73","78,776.77","79,335.59","78,642.86",121335086,0.85%
09/09/2024,"78,615.00","79,117.78","79,214.27","78,545.68",90272467,-0.36%
09/06/2024,"78,897.72","79,009.84","79,254.25","78,917.29",141866198,0.04%
09/05/2024,"78,863.34","79,027.52","79,154.29","78,578.01",132198352,0.02%
09/04/2024,"78,848.01","78,488.88","78,890.79","78,488.88",146298521,0.63%
09/03/2024,"78,356.31","78,566.04","78,644.96","78,250.89",99477520,0.09%
09/02/2024,"78,283.29","78,715.16","79,014.68","78,240.36",121323636,-0.26%
08/30/2024,"78,488.21","78,552.01","78,914.27","78,439.61",148547591,0.18%
08/29/2024,"78,349.66","78,019.51","78,513.85","78,017.35",151385422,0.46%
08/28/2024,"77,992.78","78,253.05","78,334.60","77,990.34",150897385,-0.12%
08/27/2024,"78,084.23","78,737.23","78,857.61","78,077.83",190596194,-0.62%
08/26/2024,"78,571.05","78,907.54","79,160.39","78,553.86",141271943,-0.29%
08/23/2024,"78,801.42","78,902.33","79,173.94","78,760.02",197837814,0.01%
08/22/2024,"78,793.41","78,442.25","78,996.22","78,442.25",184560028,0.68%
08/21/2024,"78,260.85","77,993.20","78,457.37","77,968.74",190858373,0.66%
08/20/2024,"77,745.52","77,857.79","77,930.03","77,460.39",114232393,-0.11%
08/19/2024,"77,830.34","78,272.12","78,382.04","77,566.62",122481310,-0.28%
08/16/2024,"78,045.30","78,197.15","78,619.17","78,041.08",206700571,-0.08%
08/15/2024,"78,105.98","77,989.36","78,709.13","77,987.82",169231822,0.29%
08/13/2024,"77,877.41","77,966.72","78,275.97","77,817.32",183958550,-0.13%
