"Date","Price","Open","High","Low","Vol.","Change %"
"11/10/2021","18,089.46","17,983.41","18,141.59","17,983.41","","0.59%"
"11/09/2021","17,983.41","18,258.29","18,283.67","17,934.19","","-1.51%"
"11/08/2021","18,258.29","18,311.76","18,387.05","18,224.19","","-0.53%"
"11/05/2021","18,355.54","18,308.85","18,479.19","18,308.85","","0.05%"
"11/04/2021","18,347.20","18,274.34","18,362.40","18,242.12","","0.40%"
"11/03/2021","18,274.34","18,320.00","18,406.68","18,215.70","","-0.38%"
"11/02/2021","18,343.15","18,254.87","18,428.53","18,254.87","","0.56%"
"11/01/2021","18,241.15","17,933.41","18,378.82","17,933.41","","1.67%"
"10/29/2021","17,941.30","17,918.32","18,009.97","17,754.25","","-0.01%"
"10/28/2021","17,942.49","17,947.27","18,026.85","17,885.86","","0.01%"
"10/27/2021","17,939.80","17,811.25","18,016.51","17,807.25","","1.37%"
"10/26/2021","17,697.68","17,818.01","17,822.60","17,667.58","","-0.47%"
"10/25/2021","17,780.63","17,861.05","17,880.36","17,705.91","","-0.51%"
"10/22/2021","17,871.80","18,006.14","18,111.60","17,700.90","","-0.75%"
"10/21/2021","18,006.14","17,815.61","18,156.42","17,785.03","","1.02%"
"10/20/2021","17,824.53","17,441.40","17,863.37","17,441.40","","2.11%"
"10/18/2021","17,455.54","17,518.25","17,619.37","17,323.38","","-0.38%"
"10/15/2021","17,521.47","17,294.03","17,554.17","17,200.62","","1.03%"
"10/14/2021","17,343.02","16,881.07","17,399.39","16,780.70","","2.74%"
"10/13/2021","16,881.07","17,162.51","17,281.11","16,813.87","","-1.95%"
"10/12/2021","17,217.00","17,225.71","17,335.94","16,931.28","","-0.07%"
"10/11/2021","17,229.55","17,492.21","17,533.39","17,181.29","","-1.68%"
"10/08/2021","17,524.80","17,543.84","17,590.00","17,435.56","","-0.11%"
"10/07/2021","17,543.84","17,463.24","17,712.41","17,463.24","","0.46%"
"10/06/2021","17,463.24","17,543.15","17,656.38","17,418.58","","-0.46%"
"10/05/2021","17,543.15","17,684.02","17,716.15","17,510.58","","-0.80%"
"10/04/2021","17,684.02","17,608.16","17,704.99","17,456.10","","0.43%"
"10/01/2021","17,608.16","17,660.61","17,715.19","17,507.00","","-0.30%"
"09/30/2021","17,660.61","17,456.61","17,687.37","17,256.90","","1.17%"
"09/29/2021","17,456.61","17,837.24","17,878.65","17,275.60","","-2.13%"
