date,open,hig,low ,close,volume ,change
08-Aug-23,"17,231.31","17,262.30","16,857.26","16,897.40","127,028,460",-350.05
07-Aug-23,"17,387.77","17,526.03","17,201.29","17,247.45","146,897,616",-122.68
04-Aug-23,"17,347.20","17,476.78","17,289.62","17,370.13","121,402,631",-11.06
03-Aug-23,"17,536.00","17,687.20","17,355.19","17,381.19","167,562,105",-98.4
02-Aug-23,"17,274.74","17,510.97","17,233.15","17,479.59","195,912,613",219.7
01-Aug-23,"17,196.55","17,357.10","17,162.27","17,259.89","151,283,804",63.34
31-Jul-23,"16,948.49","17,228.27","16,929.58","17,196.55","161,969,808",387.88
27-Jul-23,"16,631.95","16,925.85","16,631.27","16,808.67","158,003,008",116.9
26-Jul-23,"16,654.48","16,719.13","16,615.67","16,691.77","119,231,216",78.24
25-Jul-23,"16,462.35","16,665.96","16,428.97","16,613.53","78,734,416",157.62
24-Jul-23,"16,452.52","16,481.24","16,371.07","16,455.91","84,350,816",60.15
21-Jul-23,"16,251.29","16,468.30","16,251.22","16,395.76","108,381,872",165.38
20-Jul-23,"16,101.53","16,253.71","16,097.38","16,230.38","89,450,288",152.84
19-Jul-23,"16,005.20","16,118.90","15,962.51","16,077.54","87,581,352",110.82
18-Jul-23,"15,987.60","16,014.90","15,894.00","15,966.72","66,865,680",1.9
17-Jul-23,"16,014.86","16,071.65","15,951.45","15,964.82","61,494,920",-50.49
14-Jul-23,"16,155.77","16,177.61","16,006.18","16,015.31","68,869,184",-88.35
13-Jul-23,"16,203.04","16,360.20","16,091.50","16,103.66","168,934,018",-99.38
12-Jul-23,"16,059.75","16,240.97","16,063.46","16,203.04","130,507,784",172.49
12-Jul-23,"16,059.75","16,240.97","16,063.46","16,203.04","130,507,784",0
11-Jul-23,"15,895.36","16,082.13","15,909.10","16,030.55","153,726,496",155.28
10-Jul-23,"182,855,392.00","15,921.16","15,823.59","15,875.27","142,682,384",70.8
07-Jul-23,"15,756.60","15,828.94","15,726.65","15,804.47","83,626,344",30.04
06-Jul-23,"15,522.55","15,785.77","15,501.91","15,774.43","116,661,912",275.2
05-Jul-23,"15,498.95","15,709.23","15,470.43","15,499.23","136,590,288",0.28
04-Jul-23,"15,570.21","15,845.77","15,469.61","15,498.95","177,662,304",-71.26
03-Jul-23,"15,474.39","15,593.48","15,407.65","15,570.21","71,529,536",933.49
27-Jun-23,"14,646.97","14,719.80","14,560.08","14,636.72","82,360,696",-20.79
26-Jun-23,"14,238.97","14,678.45","14,233.21","14,657.51","78,389,664",526.34
23-Jun-23,"14,182.11","14,220.13","14,092.47","14,131.17","32,990,188",-43.54
22-Jun-23,"14,167.88","14,250.80","14,161.69","14,174.71","18,996,492",-3.22
21-Jun-23,"14,319.97","14,357.18","14,168.59","14,177.93","24,930,832",-128.95
20-Jun-23,"14,262.71","14,323.82","14,232.36","14,306.88","37,164,288",46.3
19-Jun-23,"14,531.26","14,584.48","14,247.87","14,260.58","48,086,512",-280.61
16-Jun-23,"14,605.21","14,659.39","14,531.93","14,541.19","44,750,680",-50.27
15-Jun-23,"14,673.10","14,674.74","14,526.97","14,591.46","47,505,584",-61.57
14-Jun-23,"14,678.46","14,748.50","14,631.78","14,653.03","66,312,480",-17.29
13-Jun-23,"14,776.11","14,858.82","14,660.23","14,670.32","39,224,968",-76.83
